ID,Date,Source,Title,Authors,URL,Type,Ideology,TacticalActor,OperationalTarget,TacticMO,Location,Summary,Analyst
12,26/07/2024,1,South Australian teenager faces court over alleged possession of extremist material and explosive instructions,Eva Blandis,https://www.abc.net.au/news/2024-07-26/sa-teenager-youth-court-possessed-extremist-material-charge/104145308,2,19,70,21,9,9,"14-year-old boy has been accused of possessing extremist material and explosive instructions. The teenager has been charged with one count of use, possess, or supply explosive instructions, one count of possess document or record of information for terrorist acts and three counts of possession of extremist material. Court documents allege the offences occurred on July 4.",3
13,26/07/2024,1,"North Korean hackers target NASA, US military bases and defence organisations to steal weapons secrets",Nil author listed,https://www.abc.net.au/news/2024-07-26/north-korean-hackers-attack-nasa-us-airforce-bases/104144694,4,13,71,19,5,185,"A joint advisory released by the US, Britain and South Korea says North Korean hackers have launched a global cyber espionage campaign targeting NASA, US military bases and defence firms. It said the operation shows ""the lengths that DPRK state-sponsored actors are willing to go to pursue their military and nuclear programmes"". The report highlights the ongoing threat posed by the campaign, while the FBI offered a reward of up to $10 million for information leading to the capture of one of the alleged hackers.",3
14,26/07/2024,4,Gang kills women and children in Papua New Guinea massacre - reports,Flora Drury,https://www.bbc.com/news/articles/cpwdp58z3gjo,2,18,74,14;15,13,135,"Tactical Actor: Appears gang related rather than a designated terrorist group. Dozens of villagers have reportedly been killed after a gang of young men launched a series of attacks in a remote region of Papua New Guinea. Survivors of the massacre have described hearing their neighbours' cries of pain, and watching as others were speared as they tried to flee the gang in canoes. At least 26 people - including 16 children - were killed, local media reported, with fears the death toll may yet rise to 50 as the search for survivors continues.",3
15,27/07/2024,4,Who could have attacked France's high-speed rail?,Paul Kirby,https://www.bbc.com/news/articles/cd16en19gd3o,3,19,74,14;15,14,135,"Suspicion fell immediately on ultra-left radicals, from security sources briefing French media, but there has been no claim of responsibility from any source. So far all we know is that the methods used to set fire to critical optical fibres and other cables in ducts along the rail network in the early hours of Friday were reminiscent of previous attacks by the extreme left. When cable ducts were set alight beside railway lines near Hamburg in Germany last September, an anonymous claim appeared on a left-wing website condemning ""capitalist infrastructure"".",3
16,29/07/2024,1,Inquest begins into Wieambilla shootings that killed two Queensland police officers in December 2022,Laura Lavelle,https://www.abc.net.au/news/2024-07-29/wieambilla-attack-inquest-nathaniel-train-queensland-police/104135580,2,5;12,70,9,2,9,"On December 12, 2022, 26-year-old Constable Matthew Arnold, 29-year-old Rachel McCrow, 28-year-old Constables Keely Brough and Randall Kirk were called to the Wains Road property to investigate a missing person's report. They arrived at about 4:30pm. As they approached the house, they were fired upon. Months after the fatal shootings, investigators revealed the Trains subscribed to a broad Christian fundamentalist belief system known as premillennialism. Police found camouflaged hiding places at the property, barriers, trenches, six firearms, three bow and arrows, several knives, CCTV, radios, mirrors on trees, and a trap door under the house. Deputy Police Commissioner Tracy Linford said the Trains acted as an autonomous cell and executed a planned and meticulous ""attack directed at police.""",3
17,29/07/2024,6,"At least 22 killed in RSF attack on Sudan's al-Fashir, activist group says",Nil Specific Author,https://www.reuters.com/world/africa/least-22-killed-rsf-attacks-sudans-al-fashir-says-activist-group-2024-07-27/,4,13,71,19,1,166,"CAIRO, July 27 (Reuters) - A pro-democracy group said Sudan's Rapid Support Forces (RSF) killed at least 22 people in an attack on the city of al-Fashir in the western Darfur region on Saturday, though the paramilitary force denied launching an assault. The al-Fashir Resistance Committees said on Facebook that the RSF had fired artillery shells on markets, hospitals and apartments in a surge of violence after weeks of stalemate on that front in the country's civil war. It later said a total of 97 people were killed or injured in the assault. The RSF dismissed the report and said it did not clash with the army or allied groups in al-Fashir.",3
18,29/07/2024,6,"FSB foils militant attacks in southern Russia, RIA reports","Maxim Rodionov, Editing by William Maclean",https://www.reuters.com/world/europe/fsb-foils-militant-attacks-southern-russia-ria-reports-2024-07-27/,2,19,74,9,8,143,"MOSCOW, July 27 (Reuters) - Russia's Federal Security Service (FSB) said on Saturday it had thwarted a series of planned militant attacks in the southern region of Dagestan, state news agency RIA reported.
The planned attacks were allegedly aimed at police forces and an Orthodox Christian church.
FSB said it had arrested three Russian citizens in the city of Kaspiysk and identified them as members of an international terrorist organization, but did not name it.",3
19,29/07/2024,7,"German citizen sentenced to death in Belarus, charged with terrorism, mercenary activities","Eve Brennan, Svitlana Vlasova and Inke Kappeler",https://edition.cnn.com/2024/07/20/europe/rico-krieger-german-death-sentence-belarus-intl-latam/index.html,2,19,70,21,8,16,"A German citizen has been sentenced to death in Belarus after being charged with terrorism and mercenary activities, according to a Belarusian human rights group. The group Human Rights Center “Viasna” said the German national is a 29-year-old German Red Cross employee named Rico Krieger. Krieger was sentenced in the Minsk Regional Court on June 24. Krieger was charged under six articles of the Criminal Code of Belarus, according to Viasna, including “mercenary activity,” “agent activity,” an “act of terrorism,” the “creation of an extremist formation,” “intentional disrepair of a vehicle or communication lines,” and “illegal actions in relation to firearms, ammunition and explosives.” Found guilty of “arranging an explosion in order to influence decision-making by authorities, intimidate the population, [and] destabilize public order.” It is unclear exactly what led up to Krieger’s alleged crimes or when they occurred.",3
20,29/07/2024,7,Kenyan protesters vow to seize country’s main airport as deadly unrest continues into sixth week,Larry Madowo,https://edition.cnn.com/2024/07/23/africa/kenya-protesters-to-occupy-main-airport-intl/index.html,3,18,74,6;14,10,89,"Protesters in Kenya have vowed “a total shutdown” as they seize control of Nairobi’s main international airport on Tuesday as deadly anti-government demonstrations intensify, now entering their sixth week.
At least 50 people have been killed during the protests and more than 400 injured, according to the Kenya National Commission on Human Rights.",3
21,29/07/2024,7,US indicts North Korean hacker accused of helping extort US hospitals,Sean Lyngaas,https://edition.cnn.com/2024/07/25/politics/us-indicts-north-korean-hacker/index.html,4,13,71,12,5;9,185,"The US Justice Department on Thursday announced the indictment of an alleged North Korean government-backed hacker for allegedly participating in a scheme to break into US hospital computer systems and extort them for ransom.
Rim Jong Hyok is part of a group of hackers working for North Korea’s military intelligence agency that uses ransoms collected from health care providers to fund further hacking operations against US government agencies and contractors, the US government alleges.",3
22,30/07/2024,1,Here's why protests are erupting in Venezuela following the re-election of president Nicolás Maduro,Tessa Flemming,https://www.abc.net.au/news/2024-07-30/venezuelans-protest-amid-nicholas-maduro-reelection/104158164,3,18,74,14,13,189,"At least two people have been killed after protests erupted in Venezuela following the re-election of president Nicolás Maduro. More than 100 protests were held in towns and cities across the nation on Monday local time, including near the presidential palace in Caracas and outside some electoral authority offices. At least two people were killed in connection with the vote count or protests — one overnight in the border state of Tachira and another in Maracay on Monday.",3
23,,1,"Two children killed and nine injured in stabbing attack at Southport, in England's north-west",Mazoe Ford and  Isabella Higgins,https://www.abc.net.au/news/2024-07-30/two-children-dead-nine-injured-in-uk-stabbing-attack/104157502,2,19,70,14,6,184,"Two children have been killed and another nine injured in a stabbing attack at Southport, on England's north-west coast.
Police have arrested a 17-year-old boy in connection with the attack, and say they are not looking for any other suspects.
Police say the boy has been detained on suspicion of murder and attempted murder. However, is yet to be charged.",3
24,1/8/2024,3,"Hamas chief Ismail Haniyeh killed in Iran: What to know, what’s next?",Nil Specific Author Listed,https://www.aljazeera.com/news/2024/7/31/hamas-chief-ismail-haniyeh-killed-in-iran-what-to-know-whats-next,5,19,74,21,1,79,"Hamas leader Ismail Haniyeh, 62, has been killed in a predawn strike in Iran. His killing threatens the stability of the region and increases the risk of the Gaza war escalating into a regional conflict. At around 2am local time (22:30 GMT) on Wednesday, Haniyeh was killed by an “airborne guided projectile.” His bodyguard was also killed. He was assassinated on the first day of Iranian President Masaoud Pezeshkian’s term. Haniyeh had travelled to Tehran for Pezeshkian’s inauguration on Tuesday.",3
25,1/8/2024,6,Guinea court finds former junta leader guilty in 2009 stadium massacre,Reporting by Saliou Samb; Writing by Anait Miridzhanian; Editing by Bate Felix and Leslie Adler,https://www.reuters.com/world/africa/guinea-court-finds-former-junta-leader-guilty-2009-stadium-massacre-trial-2024-07-31/,2,13,71,14,2;6,70,"A court in Guinea on Wednesday found former junta leader Moussa Dadis Camara and seven other accused military commanders guilty of crimes against humanity in a 2009 stadium massacre.
Their charges, which included murder, rape, torture and kidnapping, were reclassified to crimes against humanity, the court said. In the 2009 incident, tens of thousands of people had gathered at a stadium in Conakry to press Camara not to stand in a presidential election the following year. Many were shot, stabbed, beaten or crushed in a stampede as security forces fired teargas and charged the stadium.",3
26,1/8/2024,6,"Moldova detains two officials in treason, conspiracy case",Reporting by Alexander Tanas and Tom Balmforth Editing by Gareth Jones,https://www.reuters.com/world/europe/moldova-detains-two-officials-treason-conspiracy-case-2024-07-31/,2,18,70,21,8,113,"Moldova said on Wednesday it had detained two officials from the parliament and border police service for suspected treason and conspiring against the country, something a security source told Reuters they had done on behalf of Russia. One suspect gathered and provided information that was to be used against Moldova's interests and the other was suspected of plotting against the country for personal gain, the Prosecutor's Office for Combating Organised Crime and Special Cases said. The statement said they had worked with a member of a foreign embassy in Chisinau, but it did not identify which country. It said it was investigating activities that had taken place from 2023.",3
27,1/8/2024,6,Slovenian court convicts two Russians of espionage,Reporting by Daria Sito-Sucic Editing by Gareth Jones,https://www.reuters.com/world/europe/slovenian-court-convicts-two-russians-espionage-2024-07-31/,5,18,70;71,21,8,158,"A Slovenian court sentenced two Russians on Wednesday in a secret trial to one year and seven months in prison after they pleaded guilty to charges of espionage and using fake identities, the state news agency STA reported. The duo, a man and a woman, have already served the same length of time in detention and so will not be jailed but will be deported, it cited the Ljubljana district court as saying. They will be barred from entering Slovenia for five years. The court also decided to confiscate items that were used and intended for the crime, along with cash that was obtained through or as a result of the crime, STA said. The ruling cannot be appealed.",3
28,1/8/2024,6,"South Korea arrests official over alleged data leak exposing spies, reports",Hyunsu Yim,https://www.reuters.com/world/asia-pacific/south-korea-arrests-official-over-alleged-data-leak-exposing-spies-reports-2024-07-31/,2,18,70,21,8,162,"A South Korean court has issued an arrest warrant for an official at the country's military intelligence command for allegedly leaking classified data identifying agents working overseas, according to the defence ministry and media reports. Media reports said the suspect, who works at the Korea Defense Intelligence Command (KDIC), was accused of leaking personal information on agents to a Chinese individual of Korean descent. The official was not identified and it was not immediately clear if they had been taken into custody. The leaked data stored on computers at KDIC was transferred to the official's personal laptop, before it was leaked, the Yonhap news agency reported, without citing sources.",3
29,1/8/2024,6,Germany accuses China of conducting 2021 cyberattack on cartography agency,"Reporting by Miranda Murray, Rachel More and Liz Lee, Editing by Kirsti Knolle and Gareth Jones",https://www.reuters.com/world/germany-summons-chinese-ambassador-over-2021-cyberattack-cartography-agency-2024-07-31/,4,13,71,6,5,36;65,"Germany accused China on Wednesday of having been behind a 2021 cyberattack on the federal cartography agency for espionage purposes and summoned Beijing's ambaassador to Berlin to lodge a complaint. The German government was able to attribute responsibility for the cyberattack to Chinese state actors based on information from its intelligence services, the ministry statement said. The hackers compromised the end devices of private individuals and companies, it added.",3
30,1/8/2024,6,Turkey says it killed 13 Kurdish militants in northern Iraq,"Reporting by Tuvan Gumrukcu; Writing by Burcu Karakas; Editing by Daren Butler, Alexandra Hudson",https://www.reuters.com/world/middle-east/turkey-says-it-killed-13-kurdish-militants-northern-iraq-2024-07-30/,4,13,71,21,1,80,"Turkish forces targeted Kurdish militants in northern Iraq with air strikes, killing 13 members of the outlawed Kurdistan Workers Party (PKK), the defence ministry said on Tuesday. The PKK militants were ""neutralised"" in the Gara and Haftanin regions of northern Iraq, the ministry said in a statement. The ministry's use of the term ""neutralised"" generally means killed. Turkey's military previously conducted air strikes in northern Iraq on Friday and destroyed 25 Kurdish militant targets, the defence ministry said in an earlier statement. It said those targets included caves, shelters, bunkers, depots and facilities.",3
31,2/8/2024,8,Man allegedly planned Westfield terror attack in Sydney’s south,Riley Walter,https://www.smh.com.au/national/nsw/man-allegedly-planned-westfield-terror-attack-in-sydney-s-south-20240801-p5jyji.html,2,19,70,14,8,9,"Source: The Sydney Morning Herald On Wednesday, July 24, police arrested Sebastian Newman, 21, after reports of a man acting suspiciously on level one of the Westfield Miranda shopping centre just after 2pm. Police established several crime scenes at the Miranda centre without any evacuations across the five-level centre, located about 30 kilometres south of Sydney’s CBD, and home to more than 400 stores. Newman was arrested with a knife, a bottle and other items in his possession, police said. He was charged with leaving a substance to create false belief of danger, possessing chemical explosives and possessing a knife in public.",3
32,2/8/2024,3,Far-right protesters target mosque in knife attack town,,https://www.aljazeera.com/news/2024/7/31/far-right-protesters-target-southport-mosque-clash-with-uk-police,3,11;17,72,14,13,9,"A large crowd of far-right, anti-Muslim protesters has clashed with police in Southport in the northwest of England, hours after the town held a vigil for those killed and injured in a knife attack on a Taylor Swift-themed children’s dance and yoga class. Merseyside Police said that 22 officers were injured in Tuesday night’s violence, eight of them seriously. The unrest began when several hundred people, most of them men, began targeting a Southport mosque, setting vehicles and wheelie bins on fire and attacking a local shop.",3
33,3/8/2024,6,Indonesia's Papua rebels ready to free New Zealand pilot held for over a year,Reporting by Fransiska Nangoy; Editing by Clarence Fernandez,https://www.reuters.com/world/asia-pacific/indonesias-papua-rebels-ready-free-new-zealand-pilot-held-over-year-2024-08-03/,2,18,72,14,4,135,"Tactical Actor: West Papua National Liberation Army - Papuan Nationalist and anti-colonialist group in Indonesia's easternmost region of Papua has agreed to free New Zealand pilot Phillip Mehrtens from more than a year in captivity since kidnapping him, according to an audio message issued by a spokesperson on Saturday.
An armed faction of the West Papua National Liberation Army (TPNPB), led by Egianus Kogoya, kidnapped Mehrtens on Feb. 7, 2023 after he landed a small commercial plane in the remote, mountainous area of Nduga.",3
34,3/8/2024,2,"Bombing in Nigeria's Borno state kills more than 15 people, say police",,https://www.france24.com/en/africa/20240802-bombing-in-nigeria-s-borno-state-kills-over-a-dozen-authorities-says,1,9,21,14,1,127,"A bomb exploded in a roadside market in Nigeria's Borno state killing at least 16 people and wounding dozens of others, police said. The government imposed a 24-hour curfew after the bombing attack, the second in recent weeks. The attack happened at about 8 p.m. local time Wednesday at a teashop that hosts mostly locals in Kawori, a rural community in the Konduga area, some 50 kilometers (31 miles) from the state capital Maiduguri, according to local media reports. Although no one has claimed the attack, Boko Haram are suspected to be behind a bombing which killed at least 16 people on Wednesday, the latest in a series of lethal attacks against civilians in the area.",3
35,3/8/2024,6,"Explosion goes off on beach in Somali capital, prime minister says",Reporting by George Obulutsa; Editing by Sandra Maler,https://www.reuters.com/world/africa/explosion-goes-off-beach-somali-capital-prime-minister-says-2024-08-02/,1,9,11,14,1,160,"An explosion went off on a popular beach in the Somali capital late on Friday evening, Prime Minister Hassan Ali Khaire said. The explosion occurred while residents were swimming on Liddo beach, causing deaths and injuries, Khaire said on his X account, without giving more details on the casualties, or who was behind it. Al Qaeda-linked al Shabaab group has in the past claimed responsibility for similar attacks. The group controlled a vast area of Somalia before being pushed back in government counteroffensives since 2022. However, the militants remain capable of launching significant attacks on government, commercial, and military targets.",3
36,5/8/2024,1,NZ helicopter pilot killed in Indonesia's Papua region named as Glen Malcolm Conning,,https://www.abc.net.au/news/2024-08-05/indonesian-rebels-kill-new-zealand-helicopter-pilot-police/104186704,2,19,74,14,2,135,"Separatist rebels in Indonesia's Papua region have killed a New Zealand helicopter pilot, according to regional police.
The 50-year-old pilot was killed when rebels rounded up those on board the helicopter when it landed in an isolated area. A spokesperson for New Zealand's foreign ministry said it was aware of the report and that its embassy in Jakarta was seeking information from authorities.",3
37,5/8/2024,7,Teen suspect detained after nationalist Ukrainian former lawmaker shot dead,Svitlana Vlasova and Sana Noor Haq,"https://edition.cnn.com/2024/07/25/europe/ukraine-iryna-farion-killing-suspect-detained-intl/index.html#:~:text=An%2018%2Dyear%2Dold%20man,Andriy%20Sadoviy%2C%20posted%20on%20Facebook.",2,19,70,20,2,182,"Iryna Farion, 60, died in hospital last Friday after she was shot in western Ukraine, the mayor of Lviv, Andriy Sadoviy, posted on Facebook. A specialist team of Ukrainian security forces and criminal analysts tracked down the suspect on Thursday after 139 hours of investigative work, according to the country’s Interior Minister Ihor Klymenko. Authorities scoured about 100 hectares of forest and identified him using surveillance cameras, the minister said.",3
38,5/8/2024,6,Al Qaeda affiliate says it has taken two Russians hostage in Niger,Reporting by David Lewis Additional reporting and writing by Alessandra Prentice Editing by Giles Elgood,https://www.reuters.com/world/africa/al-qaeda-affiliate-says-it-has-taken-two-russians-hostage-niger-2024-08-03/,1,19,74,14,4,126,"An al Qaeda affiliate in West Africa's Sahel region has taken two Russian citizens hostage in Niger, according to a video released by the group on Friday. The video from the media foundation of Jama'a Nusrat ul-Islam wa al-Muslimin (JNIM) includes what appears to be on-camera statements by the two captives, who say they were working for a Russian company in southwest Niger when they were taken prisoner. Speaking in Russian-accented English, both identified themselves as Russians and said they were taken hostage in Mbanga, an area about 60 km (40 miles) west of the capital Niamey. They did not say when this happened.",3
39,5/8/2024,3,"Two killed, two others wounded in stabbing attack in Israel",?,https://www.aljazeera.com/news/2024/8/4/two-killed-two-others-wounded-in-stabbing-attack-in-israel,2,19,70,14,6,82,"At least two people have been killed and two others wounded in a stabbing attack near Tel Aviv, Israeli officials say, with police reporting a Palestinian suspect was “neutralised” and later died in hospital. The stabbings took place during morning rush hour near a gas station and a park in the city of Holon in the south of Tel Aviv, Israel’s ambulance service said on Sunday.",3
40,5/8/2024,2,Masked men ransack Venezuela opposition HQ as more nations recognize Maduro rival as president-elect,?,https://www.france24.com/en/americas/20240802-masked-men-ransack-venezuelan-opposition-offices-as-us-says-maduro-rival-won-presidential-vote,2,19,74,6;20,13,189,"A half dozen masked assailants ransacked the headquarters of Venezuelan opposition leader Maria Corina Machado in the latest escalation of violence against opponents of Nicolás Maduro following the country’s disputed presidential election. The raid occurred at around 3 a.m., Machado’s party said, adding that the assailants broke down doors and hauled away valuable documents and equipment. Images published by Machado’s party on social media show several walls covered in black spray paint.",3
41,5/8/2024,3,At least 32 killed in al-Shabab beach attack in Somalia’s capital Mogadishu,?,https://www.aljazeera.com/news/2024/8/3/al-shabab-lido-beach-attack-somalia-mogadishu,1,9,11,14,1;2,160,"***Updated Info: Al-Shabab claiming responsibility; updated tactic to include shooting*** At least 32 people have been killed and many more wounded in a suicide bombing and gun attack on a popular beach in Somalia’s capital, Mogadishu, according to officials. Al-Shabab, an al-Qaeda-linked armed group, claimed responsibility for the attack on Lido Beach late on Friday via an affiliated radio station.",3
42,5/8/2024,2,Death toll in Bangladesh anti-government protests rises to at least 300,?,https://www.france24.com/en/asia-pacific/20240804-more-than-50-dead-bangladesh-protest-calling-prime-minister-resignation-sheikh-hasina,3,18,71;74,14;20,2;6,14,"The overall death toll from clashes in Bangladesh has risen to at least 300 people, after 94 died Sunday in the deadliest day in weeks of anti-government demonstrations, according to an AFP tally.  The tally is based on reports from police, officials and doctors at hospitals. Protests are set to resume on Monday, with heavy deployments of soldiers and police in the capital Dhaka patrolling key roads and barricading routes to the prime minister's office. At least 94 people were killed on Sunday alone, including 14 police officers, with the rival sides battling with sticks and knives and security forces firing rifles.",3
43,5/8/2024,3,"Far-right rioters attack asylum seeker hotels in UK’s Rotherham, Tamworth",?,https://www.aljazeera.com/news/2024/8/4/far-right-rioters-attack-hotel-housing-asylum-seekers-in-uk,2,11;17,74,14;15,13,184,"Far-right demonstrators have attacked at least two hotels housing asylum seekers as the United Kingdom grapples with its worst riots in 13 years. On Sunday, hundreds of people gathered near a Holiday Inn Express hotel used to house asylum seekers near the northern town of Rotherham, throwing bricks at police and breaking several hotel windows, then setting bins on fire. Footage from UK broadcaster Sky News showed a line of police officers with shields facing a barrage of missiles, including bits of wood, chairs and fire extinguishers, as they sought to prevent the rioters, many of them masked, from entering the hotel.",3
44,7/8/2024,1,"Sub-machine gun, homemade weapon seized in cache of firearms found by Tasmania Police",Meg Whitfield,https://www.abc.net.au/news/2024-08-07/tasmania-police-seize-31-firearms/104194456,2,18,70,21,13,9,"!!! PMF mentioned - Nil info contained in article !!! Thirty-one firearms have been seized across Tasmania's north in the past month. In the same period, 20 people have been charged in relation to illegal possession of firearms. More than 30 firearms have been seized and 20 people charged across Tasmania's north in the past month, with 64 individual charges laid as a result, police said. The guns seized included the recovery of a firearm that was stolen in April, and a nine-millimetre sub-machine gun that was discharged inside a room at a Tasmanian hotel last month.",3
45,7/8/2024,1,Pakistani man with ties to Iran is charged in plot to carry out political assassinations on US soil,?,https://www.abc.net.au/news/2024-08-07/us-charges-man-alleged-ties-to-iran-in-foiled-assassination-plot/104192864,2,9,70,20,8,185,"A Pakistani man with alleged ties to Iran has been charged in connection to a plot to carry out US political assassinations, according to the US Department of Justice said.  Asif Merchant sought to recruit people in the US to carry out the plot in revenge for the killing of senior Revolutionary Guard figurer Qassem Soleimani. The 46-year-old has been charged with murder for hire. Asif Merchant sought to recruit people in the US to carry out the plot in retaliation for the US killing of Iran's Revolutionary Guards' top commander Qassem Soleimani in 2020, according to a criminal complaint released on Tuesday, local time.",3
46,7/8/2024,1,AFP seeks to confiscate property of Russian-born Australians charged with espionage-related offences,Melanie Vujkovic,https://www.abc.net.au/news/2024-08-06/queensland-afp-restrains-assets-russia-espionage-charges/104188170,4,13,71,19,8,9,"Federal police have restrained the home and assets of two Russian-born Australians charged with spying offences. The AFP alleges 40-year-old Kira Korolev, who was an army private in the Australian Defence Force, and her 62-year-old husband Igor, accessed sensitive ADF information with the intent to provide it to Russian authorities. The AFP-led Criminal Assets Confiscation Taskforce (CACT) is looking to confiscate the married couple's apartment and their savings under the Proceeds of Crime Act 2002.",3
